Archetype,Type,Who they are,What the button solves for them,Marketing score (1-100),Why that score,Further considerations,Gap idea 1 (not in the button today),Gap idea 2,Gap idea 3
Kids (5-11),Identity,"Loves buttons, breaks things, cannot read a config screen.","A toy that responds instantly, and games that need nothing but the button.",58,"Delightful demo, hard business. Toy safety, durability and parental setup all cost more than the software.","Toy-grade compliance is a real barrier for a small run. Best sold as a parent-configured mode of the household button, not a separate SKU.",A simple colour-matching or memory game (extends hotcold/reaction),Sticker/reward tally with a celebration light,A 'read to me' pacing light for practice reading
Teachers & classrooms,Identity,"30 kids, a noise level, a timer that has to be visible from the back.",A room-visible timer and a turn signal that does not need the projector.,61,"Clear use and enthusiastic early adopters, but school purchasing is slow and per-unit budget is near zero.","Sell to the teacher personally, not the district. Needs to be visible at 10 m, which one small LED may simply not be - test before promising.",Turn-taking token: the light names who has the floor,A group timer several buttons share (TODO 116),Noise-level reflex driven by the PC's microphone
Athletes & gym-goers,Identity,"Intervals, sets, rest timers, a phone they would rather not touch mid-set.",A sweaty-hands-proof interval timer that shows work/rest as colour.,55,"The interval app exists and Tabata/HIIT presets ship, but phones and watches own this space and do it well.","Needs to survive a gym bag and be readable in daylight - both hardware questions. Probably a feature that sells other archetypes, not a segment of its own.","Rep counter driven by a press per set, with a rest light",A round timer a coach triggers for a whole class,Heart-rate-zone light from a paired strap
Sports fans,Identity,"Season ticket, team colours, watch parties, a stadium full of people who all bought a thing.",Team colours on a physical object - and eventually a whole stand lighting up together.,76,"The single biggest upside idea in the pile (crowd sync, TODO 115) and the best possible ad, but it is the furthest from shipping.","Team names are trademarks - the light library must ship colours and tags, not club names (TODO 113). Stadium deals are a different business to selling one button.",Crowd sync: coordinated colour across a stand (TODO 115),Goal/score reflex from a live sports API,"A team look pack in the light library, searchable by city"
Tradesmen,Identity,"Site work, gloves, dust, a phone in a case that has already been dropped.",Honestly: very little a rugged phone or a shop timer does not already do.,34,Lowest-fit segment in this list. The button is a desk object with a delicate LED and a BLE dependency on a PC that is not on site.,"Worth writing down as a deliberate no. If it is ever revisited it is a different physical product, not a scene.",A site-safe standalone timer with no host at all,Loud audible alarm - the buzzer is nowhere near enough for a job site,A wearable or mountable form factor
Nerds / collectors / fandom,Identity,"Shelf of figures, deep in one franchise, buys the thing because it is the thing.",A shelf object that shows a franchise's colours and reacts when something happens.,80,"Very high, and it is the light library's payoff: thousands of palettes people search their fandom for is exactly the browse-and-buy loop.",Same trademark caution as sports. Community-authored palettes sidestep most of it - decide the policy once (TODO 113).,"Franchise palette packs, searchable, in the light library",A 'countdown to release' shelf light,Ambient reactive mode driven by what is playing on the PC
Events & entertainment fans,Identity,"Concerts, festivals, cons. Owns the light-up wristband from the last tour.","A wristband you own, that you configured, that works at the next show too.",73,"Proven behaviour - tours already hand these out - and it upgrades a disposable into a keepsake. Needs crowd sync to be more than a colour.","The tour-issued version is free to the fan and paid by the promoter; that is a B2B motion, not a consumer one. Two businesses in one idea.",Crowd sync at a venue with a join code (TODO 115),A show mode that reacts to the PC's audio when at home,Buttons as pixels of an image across a crowd (TODO 115)
Rebels / activists,Identity,"Marches, mutual aid, distrust of platforms and cloud accounts.","A signal that works with no account, and a light that says one thing loudly.",44,"Strong emotional fit with the open/offline story, but a small, non-spending and reputationally complicated segment.","Anything sold as protest kit invites scrutiny of the crowd features and of what the sync server logs. Offline-first is the honest offer; do not build tracking into it.","Fully offline device-to-device signalling - no host, no server","A silent mode - buzzer only, no light",Pre-written signal codes on a printed card (see TODO 112)
Daily-life / habit users,Identity,"Wants one small ritual to stick. Water, meds, stretch, journal.","A press that records a thing happened, and a light that shows the streak.",63,"Broad and shallow. Counter, readout and notices already do it; the problem is that habit apps are free and everywhere.","The differentiator is that it is on the desk and not in a phone - lead with that, not with features. Retention is weak without a readout people love.",A streak light that is genuinely satisfying to keep alive,Medication reminder with an acknowledged/missed record (TODO 84b),"Mood check-in: press a colour, get a chart"
Home automation people,Identity,"Home Assistant, MQTT, a dashboard nobody else in the house uses.",A physical control their household will actually press wired into what they already built.,70,"Technically sophisticated, already spending, and the webhook action nearly serves them today. Good multiplier: they build the integrations.",Home Assistant users expect local control and no cloud - a BLE-to-PC hop is a weakness. An ESPHome/MQTT path may matter more than any app.,"Native MQTT / Home Assistant action, local, no host service","A light that mirrors home state (door open, laundry done)",Direct Wi-Fi mode so the button needs no PC at all
Photo & video crews,Identity,"Sets, tally lights, a director who needs to know when to talk.",A recording tally and a silent cue between crew.,48,"Narrow, and the professional versions are cheap, wired and trusted. The amateur end overlaps streamers, who score much higher.",Sell into this only through the streamer story. Wireless tally is a solved problem with known-good hardware.,Camera tally over a second button (TODO 116),A silent countdown cue for talent,Timecode / slate marker on press
Accessibility & care,Identity,"Deaf and hard-of-hearing households, carers, memory support.","A light that carries information sound normally would - doorbell, alarm, timer, prompt.",52,"Genuinely valuable and underserved, and the light-first design suits it. Scored down because the sales motion is care organisations and the reliability bar is high.","This crosses into 'someone depends on it', which is a different standard of testing and a different liability. Not a casual scene.",Sound-to-light reflex: doorbell / alarm / name detection on the PC,A one-press check-in a family member sees remotely,"High-contrast plain-language look set with no strobing at all"
Retail / service / hospitality staff,Identity,"Front of house, back of house, a bell and a shout.",A quiet call button between counter and kitchen.,39,"Real problem, but commercial paging systems own it and per-site purchasing is slow. The button is not built for a shift.",Needs multi-button (TODO 116) plus reliability nobody has tested. Probably not worth a scene until that exists.,"Pager: press here, buzz there (TODO 116)",A queue counter with a shared readout,Shift timer nobody has to look at a screen to read
Cosplayers & prop makers,Identity,"Builds the prop, wires the LEDs, wants a control that hides inside it.",A tiny configurable light-and-trigger core they can embed.,57,"Passionate, visible, and shares everything they make - excellent organic reach for a small segment.","They will want the board bare and the enclosure gone; that is a component sale, not a product sale. The light library and open firmware are the draw.",A bare-board / embed variant with a JST light output,Per-pixel ring support so a prop can have a strip (TODO 52b),"Trigger patterns for a prop: charge-up, fire, cooldown"
Dog trainers & pet owners,Identity,"Clicker training, feeding schedules, a dog that hears the treat bag.","A clicker that also keeps count, and a feeding light the household shares.",45,"Charming and demo-friendly, but the clicker is three dollars and works. The value is the record-keeping, which is a screen problem.",Buzzer sound quality matters here in a way it does not elsewhere - a clicker has a specific sharp sound.,"Training-session recorder: press per success, get a session chart",Feeding light - nobody double-feeds the dog,A timed 'stay' with a light the dog can be trained on
Wedding & event planners,Identity,"Runs a timeline, cues a DJ, keeps a room moving.","A discreet cue between planner, DJ and photographer.",42,"Small, seasonal and service-led. It is a rental business more than a product one.","Would need several buttons, a charge story and setup by someone who is not technical. Furthest from the current shape.",Cue chain across roles (TODO 116),"Timeline app: next event, time remaining, at a glance",Guest-facing colour moments across the room (TODO 115)
Fitness & interval coaches,Identity,"Runs classes, calls intervals, watches a clock more than the class.",A class-visible work/rest light so nobody has to hear the call.,50,"The interval app is done, so this is nearly free content - but gyms already have wall clocks and apps that project.",Best treated as a scene shipping alongside the athlete one rather than a segment of its own. Visibility at distance is the open question.,Class-wide sync so every member's button shows the round,A programmable ladder of rounds with named blocks,Coach override: skip or extend the round from one press
The desk generalist,Multi-use,Anyone with a computer and a desk. No single identity - wants one object that does several small things well.,"One button, four gestures, doing the four things they do all day: focus timer, mute, do-not-disturb, shortcut.",81,"The honest default scene and the one most first buyers actually live in. Sells the product rather than a niche, and it is what the ambient layer already is.","Risk is blandness - a generalist scene has to be configured well, not merely populated. This is the scene to spend the most authoring effort on.",A guided first run that asks four questions and writes the scene,"Profile switching by time of day, not by press",Usage readout that suggests what to bind to the unused gesture
The household button,Multi-use,"A family, one button in a shared space, several people who will press it.","Shared signals: dinner is ready, quiet hours, laundry is done, someone is on a call.",67,"Strong story and the clearest reason to own more than one, but it depends almost entirely on multi-button work that does not exist yet.","Needs to work with no PC awake, which is standalone (TODO 111) plus a mesh (TODO 116). Do not write this scene before those land.",Broadcast: one press changes every button in the house,A shared state anyone in the house can clear,Per-person colour so the signal says who sent it
The performer's rig,Multi-use,Music and streaming and presenting from the same desk - the overlap archetype.,"A single scene covering record, on-air, mute and cue, switching by context instead of by mode.",64,"Real people live here (the owner does), but it is a power-user scene that assumes a configured machine. Good documentation piece, weak advertisement.","This is the scene that will expose every rough edge in scene metadata and missing-integration warnings - write it early for that reason, not for sales.",Context switching driven by which app has focus on the PC,"A single 'go live' chain that touches DAW, OBS and the light",Per-scene readout so you can see what the rig did today
